,CHLA,DO,PH,PHEO,SALINITY,SECCHI,SIGMA_T,SPCOND,TSS,WTEMP,SampleDepth,Latitude,Longitude,timestamp
0,7.476,8.0,7.6,2.781,0.0,0.7,-2.74104,191.0,9.6,24.8,0.5,39.54794,-76.08481,1092222.36
1,1.196,7.0,7.4,1.705,0.0,1.0,-2.86764,166.0,5.6,24.9,0.5,39.44149,-76.02599,1092220.32
2,3.738,6.6,7.7,1.495,0.0,0.4,-2.81672,217.0,20.0,24.7,0.5,39.54794,-76.08481,1093433.28
3,0.897,6.8,7.6,0.449,0.0,1.4,-3.10151,212.0,6.7,25.8,0.5,39.44149,-76.02599,1093431.0
4,,10.3,7.6,,0.0,0.05,-1.02644,113.0,120.0,16.2,0.5,39.54794,-76.08481,1095852.0
5,1.495,10.4,7.7,0.598,0.0,0.05,-1.01,108.0,181.0,16.2,0.5,39.44149,-76.02599,1095849.78
6,4.486,9.2,8.2,6.071,0.0,0.8,-1.14466,250.0,8.8,16.9,0.5,39.54794,-76.08481,1097756.1
7,0.598,8.7,7.9,0.568,0.0,0.5,-0.9614,218.0,26.6,15.8,0.5,39.44149,-76.02599,1097753.4
8,2.99,11.7,8.4,1.121,0.0,1.0,-0.37205,253.0,5.8,11.4,0.5,39.54794,-76.08481,1100174.82
9,0.427,10.8,8.0,2.691,0.0,0.6,-0.17718,244.0,12.5,9.3,0.5,39.44149,-76.02599,1100172.6
10,1.495,12.6,7.7,1.017,0.0,0.5,-0.01172,142.0,12.0,6.5,0.5,39.54794,-76.08481,1102503.0
11,0.897,12.4,7.6,2.153,0.0,0.4,0.00266,138.0,13.8,6.1,0.5,39.44149,-76.02599,1102500.48
12,1.121,13.0,7.7,0.187,0.0,0.5,0.02204,166.0,11.5,5.4,0.5,39.54794,-76.08481,1105618.14
13,0.498,12.9,7.6,0.0,0.0,0.4,0.0313,160.0,9.0,5.0,0.5,39.44149,-76.02599,1105615.5
14,0.498,14.2,8.0,0.199,0.0,0.4,-0.00795,218.0,18.0,1.6,0.5,39.54794,-76.08481,1108554.72
15,1.121,13.7,8.1,0.187,0.0,0.5,0.03554,248.0,14.7,2.5,0.5,39.44149,-76.02599,1108638.96
